iter	Passed	Remaining
0	15	52302
1	32	52746
2	48	52756
3	65	53731
4	86	57154
5	108	59448
6	125	58776
7	141	58074
8	157	57426
9	174	57287
10	191	57004
11	211	57814
12	233	58914
13	253	59278
14	272	59445
15	290	59591
16	307	59247
17	323	58875
18	339	58491
19	356	58388
20	375	58569
21	395	58875
22	413	58839
23	430	58599
24	446	58388
25	464	58373
26	480	58108
27	497	58026
28	517	58272
29	535	58271
30	550	57944
31	568	57923
32	585	57810
33	601	57634
34	616	57374
35	631	57093
36	647	56950
37	667	57157
38	686	57257
39	701	57074
40	717	56890
41	732	56677
42	749	56643
43	765	56530
44	782	56468
45	799	56403
46	816	56420
47	837	56632
48	854	56554
49	871	56511
50	886	56366
51	901	56211
52	918	56165
53	935	56087
54	951	56006
55	969	56040
56	991	56263
57	1009	56298
58	1025	56223
59	1041	56110
60	1056	56001
61	1074	55990
62	1111	56964
63	1137	57401
64	1161	57696
65	1179	57663
66	1195	57560
67	1210	57418
68	1225	57257
69	1240	57112
70	1255	56996
71	1275	57059
72	1294	57100
73	1310	57017
74	1327	56937
75	1342	56842
76	1358	56757
77	1375	56698
78	1393	56683
79	1413	56785
80	1434	56901
81	1454	56954
82	1472	56963
83	1489	56893
84	1507	56883
85	1524	56837
86	1539	56725
87	1554	56630
88	1574	56676
89	1593	56707
90	1609	56642
91	1624	56535
92	1640	56440
93	1655	56342
94	1670	56219
95	1686	56171
96	1702	56092
97	1720	56106
98	1738	56103
99	1755	56045
100	1773	56034
101	1790	56012
102	1806	55948
103	1821	55866
104	1839	55846
105	1854	55766
106	1871	55717
107	1892	55808
108	1913	55889
109	1929	55846
110	1946	55795
111	1962	55727
112	1978	55674
113	1995	55632
114	2010	55564
115	2027	55525
116	2047	55583
117	2067	55634
118	2084	55599
119	2100	55540
120	2117	55509
121	2133	55448
122	2149	55404
123	2167	55389
124	2184	55355
125	2203	55376
126	2223	55434
127	2239	55371
128	2271	55701
129	2287	55661
130	2303	55609
131	2320	55573
132	2337	55529
133	2356	55549
134	2377	55604
135	2393	55560
136	2409	55511
137	2426	55467
138	2444	55469
139	2461	55433
140	2479	55438
141	2497	55425
142	2518	55480
143	2537	55499
144	2554	55463
145	2572	55446
146	2587	55384
147	2605	55359
148	2623	55352
149	2643	55399
150	2667	55497
151	2684	55466
152	2702	55456
153	2720	55445
154	2738	55437
155	2755	55414
156	2771	55368
157	2791	55394
158	2815	55493
159	2836	55546
160	2853	55517
161	2870	55478
162	2887	55437
163	2903	55397
164	2918	55324
165	2934	55282
166	2955	55328
167	2976	55360
168	2992	55316
169	3008	55259
170	3023	55199
171	3039	55148
172	3056	55116
173	3072	55077
174	3090	55070
175	3109	55076
176	3129	55085
177	3148	55095
178	3164	55059
179	3183	55061
180	3201	55042
181	3219	55025
182	3242	55099
183	3262	55131
184	3278	55073
185	3292	55003
186	3307	54942
187	3322	54881
188	3336	54803
189	3351	54739
190	3367	54685
191	3383	54639
192	3403	54660
193	3422	54671
194	3439	54640
195	3459	54662
196	3478	54668
197	3496	54648
198	3513	54631
199	3533	54642
200	3557	54730
201	3574	54700
202	3595	54732
203	3615	54753
204	3630	54684
205	3644	54620
206	3659	54558
207	3679	54579
208	3705	54685
209	3722	54656
210	3737	54587
211	3751	54522
212	3766	54459
213	3780	54398
214	3795	54338
215	3809	54269
216	3825	54220
217	3842	54204
218	3862	54213
219	3878	54177
220	3892	54114
221	3907	54059
222	3950	54381
223	3971	54411
224	3992	54437
225	4016	54512
